17.金門人盼了20年…第一所大學揭牌,離島第一所大學─國立金門大學今天上午揭牌成立，立即獲得金門籍的馬來西亞僑領楊忠禮及鴻海集團永齡基金會各捐贈100萬美元，總計200萬美元；同時印尼僑領黃進益也捐出新台幣500萬元，做為強化網路電腦設備及校務基金,2010-07-27,"['大學', '僑領', '離島', '國立', '金門']"
18.金門大學今掛牌 廣聘院士級師資,金門技術學院改名金門大學，今天掛牌，為台灣離島第一所一般大學，為吸引優秀學生，金門縣政府釋出利多，成績優異入學者四年學雜費全免，因鴻海集團董事長郭台銘捐一百萬美金及多位僑領捐款，學校擬重金禮聘九位院士,2010-07-27,"['金門', '大學', '技術', '學院', '掛牌']"
19.追認大陸學歷 教部擬甄試、審查,教育部官員昨天表示，如果立院修法後無法直接追溯大陸大學、研究所的學歷，目前教育部規劃以筆試或論文審查進行甄試，只要能通過甄試，學歷還是可以獲得採認。這個方向將可協助一萬四千名已經取得大陸大學以上學歷的,2010-07-27,"['學歷', '大陸大學', '甄試', '教育部', '立院']"
20.設國際學院、博士班 高餐升格大學,國立高雄餐旅學院今天起升格為高雄餐旅大學，增設國際學院，開設旅運管理博士班。昨天邀創校校長李福登、教育部官員及高雄市長陳菊揭牌。 高雄餐旅大學校長容繼業說，今年高雄餐旅升格大學後，要成立第一個博士班，除,2010-07-27,"['高雄餐', '旅大學', '博士班', '校長', '升格']"
21.裕隆大陸設廠 准了,據了解，大陸發改委7月26日核發東風裕隆（杭州）汽車廠批文，裕隆集團自主汽車品牌納智捷（Luxgen）汽車終於獲准登陸生產，將創下台灣乘用車品牌赴海外設廠的首例，寫下台灣發展汽車工業50多年來的新里程碑。 據悉，,2010-07-27,"['汽車', '裕隆', '下台', '品牌', '大陸發']"
22.裕隆彈跳登陸登漲停,裕隆（2201）集團自有品牌納智捷（Luxgen），傳聞已通過大陸發改委批文，獲準登陸生產，最快今年底在大陸上市，也創下台灣汽車品牌赴海外設廠首例。裕隆集團上午齊聲歡慶，裕日車（2227）在外流通籌碼少，開盤不久急,2010-07-27,"['集團', '裕隆', '品牌', '2201', '納智捷']"
23.政府說清楚… 如何採認大陸學歷,報載「追認大陸學歷，教部擬甄試、審查」，昨天剛好與台生餐會，他們充滿疑問、失望與無奈。不過政府也不可能滿足所有人的需求，大家應該理解。 大陸學歷採認不溯既往的政策日益明朗，筆者一向主張要基於信賴保護原則,2010-07-27,"['報載', '認大陸', '學歷', '教部擬', '甄試']"
24.金門大學誕生 將增百名師資,醞釀20年，金門外島昨天以辦喜事的心情，迎接離島第一所大學─「國立金門大學」。教育部長吳清基表示，行政院長吳敦義允諾，未來五年每年增加20位師資，總計金門大學將增加100位師資，以強化金門大學競爭力。 金門大,2010-07-27,"['金門', '大學', '20', '位師資', '醞釀']"
25.ECFA 立院16日審查,立法院第二次臨時會預訂本月16日召開，兩岸經濟協議（ECFA）審查大戲即將再度登場，府院黨五人小組會議昨（2）日獲致共識，ECFA審議將以閣揆答詢、逐條審查、全案表決、附帶決議的四大原則進行。 7月上旬立法院第一次,2010-07-27,"['ECFA', '審查', '立法院', '全案', '臨時會']"
26.納智捷 明年登陸投產,裕隆集團中國大陸布局跨出一大步，裕隆昨天宣布，和大陸東風汽車合作投資的東風裕隆汽車有限公司，申請已於昨天獲得中國大陸國家發展改革委員核准，裕隆自主品牌納智捷明年可望在大陸正式投產。 雖然裕隆並未說明納智,2010-07-27,"['裕隆', '大陸', '東風', '汽車', '集團']"
27.陸生三法還在喬 兩岸科大先搭橋,「陸生三法」本月將在立法院叩關審議，但兩岸大學已開始為教育合作隔海搭橋，昨天台科大舉行「兩岸科技大學校長論壇」，不少大學校長呼籲盡早開放兩岸學分互認，並應先建立學分轉換機制。 武漢理工大學副校長張安富表,2010-07-27,"['兩岸', '大學', '校長', '學分', '陸生']"
28.致遠改大成功 更名台灣首府大學,台南縣致遠管理學院順利改大成功，為了營造學校新氣象，校方捨棄外界預期「致遠大學」名稱，已向教育部申請「台灣首府大學」新校名，正等教育部核定中。 致遠創校10年，今年獲教育部審核通過8月起改制為大學。改大成,2010-07-27,"['教育部', '致遠', '大學', '校名', '縣致']"
29.中國式退場為大陸經濟築底,中國大陸7月第一個經濟數據出爐，預示生產動向的製造業採購經理指數（PMI）降為51.2%，是去年3月經濟自谷底回升以來的最低水準，距50%的景氣榮枯分水嶺也僅有一步之遙，再次印證下半年大陸經濟擴張將放慢的態勢。由於,2010-07-27,"['經濟', '中國大陸', '數據', '出爐', '預示']"
30.富偉精機 建構三品企業文化,快速換模系統領導大廠富偉精機股份有限公司為達成「品牌、營收皆第一」的企業發展終極目標，積極打造「建立品牌、精進品質、良善品性」的三品企業文化，期將高品質、創新研發的「整廠自動化換模系統」進化到世界級水,2010-07-27,"['企業', '品牌', '換模', '系統', '領導大廠']"
31.中華車,中華車（2204）獲市場實戶特定買盤進場拉抬，今日一開盤即跳空大漲逾4%，呈現亮麗補漲攻勢。繼同集團姐妹檔裕隆品牌事業納智捷登陸生產後，市場近期熱炒汽車與相關零組件股，加上汽車股即將迎接農曆鬼月淡季來臨，7月,2010-07-27,"['汽車', '中華車', '2204', '獲市場', '實戶']"
32.經部出招 稅服陸企,經濟部投資處科長張宴薰昨天在北京表示，台灣已改善境外企業來台投資的各種稅賦，如遺贈稅、營所稅等，營所稅還比大陸、南韓低，和新加坡相當，對大陸企業有吸引力。 張宴薰在北京「兩岸產業與不動產投資新機遇研討會,2010-07-27,"['張宴', '營所稅', '經濟部', '投資處', '科長']"
33.來來來，台大或北大？,最近台灣高等教育界的震撼新聞：不少優異的高中畢業生選擇前往中國大陸及香港讀大學。這類個案早就零星發生，但今年由於大陸作成政策，台灣學測達頂標級的學生，可直接向大陸一百多所大學申請就讀，人才流向大陸的「,2010-07-27,"['大陸', '台灣', '新聞', '優異', '畢業']"
34.台玻搶進內陸 拚建廠,台玻（1802）隨中國大陸開發大西部政策，積極布局內陸市場，今年陸續計畫在成都、安徽、武漢、天津設廠。剛確定的台嘉成都玻纖廠與台玻安徽浮法平板玻璃廠，預計將在2012年投產，搶攻當地內需市場。 大陸內需市場成長,2010-07-27,"['需市場', '安徽', '成都', '1802', '隨中國']"
35.台商回鄉 弘凱光電明年掛牌,生產各類LED照明燈具的弘凱光電，在大陸深圳設廠9年，董事長黃建中看準台灣投資環境改善，去年底將營運總部遷回桃園，成立集團研發中心，最快明年掛牌上櫃。 「台灣研發，大陸生產，布局兩岸，世界發光！」是黃建中未,2010-07-27,"['生產', '大陸', '台灣', '研發', '建中']"
36.黑心染髮劑？ 誘發掉髮胃痛？,台北市一名39歲曾姓女子日前染髮，當場感到頭皮「撕裂般劇痛」，隔天立即就醫。她今早哭訴，懷疑使用的染髮膏是黑心染髮劑，讓她後來還引發掉髮、腰痠、胃痛，全身不適，連白血球指數都變高。 北市藥物食品管理處長姜,2010-07-27,"['北市', '39', '當場', '頭皮', '般劇痛']"
37.汽車股載著月績資產奔馳,農曆鬼門開，但車市前一月衝刺出銷售佳績；加上慶豐銀行大樓明天即將標售，市場預期將出現北市新地王，汽車資產股同步發酵，今早實戶買盤積極湧入下，裕隆集團旗下裕隆(2201）、中華車(2204）均見大單急敲噴出，裕隆,2010-07-27,"['裕隆', '鬼門開', '但車', '市前', '衝刺']"
38.陸生三法 下周闖關,陸生三法將在下周立院臨時會闖關，教育部表示，若臨時會順利通過三法，攻讀雙聯學位的陸生最快9月就可來台；至於學位課程須經招生程序，預計100學年度才能正式招生。 針對台灣智庫批評有陸生「假研修，真就學」，教育,2010-07-27,"['陸生', '招生', '立院', '三法將', '臨時會']"
39.郭添財：提升軟實力 加強競爭力,教育部昨天在台南市舉辦「兩岸經濟協議ECFA、陸生來台就學」議題座談會，國民黨大台南市長參選人郭添財在座談會中強調，台南的經濟和文化、觀光要邁向國際，絕對不能忽略大陸市場。 郭添財另外參加勞委會舉辦的勞工安,2010-07-27,"['舉辦', '經濟', '談會', '郭添財', '台南市']"
40.紡織強國 兩岸強化合作,經濟部昨天舉辦「兩岸紡織與纖維產業合作及交流會議」，邀請兩岸紡織相關的產官學等三百人出席。經濟部次長黃重球會中表示，大陸已是台灣紡織成衣業第一大的進、出口及投資市場，兩岸紡織業若能透過搭橋平台合作，配,2010-07-27,"['兩岸', '紡織', '經濟部', '舉辦', '纖維產業']"
